"asset_id","local_path","source_kind","author_recorded","source_url_recorded","license_recorded","legal_verification","status","owner","evidence"
"place-puerto-madryn-gallery-3","media/places/puerto-madryn/gallery-3.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-salta-hero","media/places/salta/hero.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-salta-gallery-1","media/places/salta/gallery-1.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-salta-gallery-2","media/places/salta/gallery-2.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-salta-gallery-3","media/places/salta/gallery-3.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-salta-gallery-4","media/places/salta/gallery-4.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-purmamarca-gallery-1","media/places/purmamarca/gallery-1.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","blocked_or_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-purmamarca-hero","media/places/purmamarca/hero.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-purmamarca-gallery-1","media/argentina-travel/purmamarca/1624745072327-purmamarca___siete_colores__joaqu_n_carrillo.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-purmamarca-gallery-2","media/argentina-travel/purmamarca/1624745078707-jujuy__139_.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-purmamarca-gallery-3","media/argentina-travel/purmamarca/1624745084933-jujuy_purmamarca_paseo_de_los_colorados_canon_mk_iv__15_.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-purmamarca-hero","media/argentina-travel/purmamarca/1624745057402-purmamarca___juan_aranda.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-iguazu-falls-hero","media/places/iguazu-falls/hero.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-iguazu-falls-gallery-1","media/places/iguazu-falls/gallery-1.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-iguazu-falls-gallery-2","media/places/iguazu-falls/gallery-2.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-iguazu-falls-gallery-3","media/places/iguazu-falls/gallery-3.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-iguazu-falls-gallery-4","media/places/iguazu-falls/gallery-4.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-iguasu-gallery-1","media/argentina-travel/iguasu/1624893544983-cataratas_del_iguazu___2_____inprotur.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-iguasu-gallery-2","media/argentina-travel/iguasu/1624893551239-iguazu__80_.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-iguasu-gallery-3","media/argentina-travel/iguasu/1624893556107-iguazu__3_.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-iguasu-hero","media/argentina-travel/iguasu/1624893534210-iguazu__72_.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-perito-moreno-glacier-hero","media/places/perito-moreno-glacier/hero.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-perito-moreno-glacier-gallery-1","media/places/perito-moreno-glacier/gallery-1.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-perito-moreno-glacier-gallery-2","media/places/perito-moreno-glacier/gallery-2.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-perito-moreno-glacier-gallery-3","media/places/perito-moreno-glacier/gallery-3.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-perito-moreno-glacier-gallery-4","media/places/perito-moreno-glacier/gallery-4.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-perito-moreno-gallery-1","media/argentina-travel/perito-moreno/1624743700054-calafate__2__2.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-perito-moreno-gallery-2","media/argentina-travel/perito-moreno/1624743706430-calafate__134__2.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
