id,type,url,title,status,word_count,threshold,gap_words,quality_score,severity,recommended_action,source_path,evidence
place:neuquen,place,/places/neuquen,Неукен,published,53,500,447,28,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=53; type_threshold=500
place:rio-gallegos,place,/places/rio-gallegos,Рио-Гальегос,published,53,500,447,28,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=53; type_threshold=500
place:san-salvador-de-jujuy,place,/places/san-salvador-de-jujuy,Сан-Сальвадор-де-Жужуй,published,53,500,447,28,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=53; type_threshold=500
place:susques,place,/places/susques,Сускес,published,53,500,447,23,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=53; type_threshold=500
kb:bebidas-y-gastronomia-en-cordoba,attraction,/baza-znaniy/bebidas-y-gastronomia-en-cordoba,Food and Drink in Córdoba,stub,54,500,446,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/bebidas-y-gastronomia-en-cordoba.md,word_count=54; type_threshold=500
content-page:immigration:vizy-dlya-turistov,immigration,/immigration/vizy-dlya-turistov,Визы для туристов: основы,published,154,600,446,38,medium,DEEP_REWRITE,src/data/immigration-content.ts,word_count=154; type_threshold=600
place:cafayate,place,/places/cafayate,Кафаяте,published,54,500,446,28,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=54; type_threshold=500
place:corrientes,place,/places/corrientes,Корриентес,published,54,500,446,28,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=54; type_threshold=500
place:la-plata,place,/places/la-plata,Ла-Плата,published,54,500,446,28,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=54; type_threshold=500
place:san-juan,place,/places/san-juan,Сан-Хуан,published,54,500,446,28,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=54; type_threshold=500
kb:maimara,attraction,/baza-znaniy/maimara,Maimará,stub,55,500,445,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/maimara.md,word_count=55; type_threshold=500
kb:malargue,attraction,/baza-znaniy/malargue,Malargüe,stub,55,500,445,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/malargue.md,word_count=55; type_threshold=500
kb:belen,attraction,/baza-znaniy/belen,Belén,stub,56,500,444,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/belen.md,word_count=56; type_threshold=500
kb:cabalgatas-en-tafi-del-valle,attraction,/baza-znaniy/cabalgatas-en-tafi-del-valle,Horseback riding in Tafí del Valle,stub,56,500,444,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/cabalgatas-en-tafi-del-valle.md,word_count=56; type_threshold=500
kb:empedrado,attraction,/baza-znaniy/empedrado,Empedrado,published,56,500,444,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/empedrado.md,word_count=56; type_threshold=500
